step	recon	kl	loss	lr	ts
100	0.09267979115247726	0.00128831434994936	0.09267979115247726	5e-06	1765372774
200	0.039167970418930054	0.002177530201151967	0.03916797414422035	1e-05	1765372865
300	0.04015852510929108	0.0025517530739307404	0.040158528834581375	1.5e-05	1765372957
400	0.025231383740901947	0.00320053962059319	0.025231387466192245	2e-05	1765373048
500	0.026415102183818817	0.0035595237277448177	0.026415105909109116	2.5e-05	1765373140
600	0.01576581597328186	0.004192681517452002	0.01576581969857216	3e-05	1765373231
700	0.018012918531894684	0.004437999799847603	0.018012922257184982	3.5e-05	1765373323
800	0.01098565012216568	0.005365599878132343	0.010985655710101128	4e-05	1765373414
900	0.011459782719612122	0.005585467908531427	0.01145978830754757	4.5e-05	1765373506
1000	0.01345584075897932	0.0055326009169220924	0.013455846346914768	5e-05	1765373598
1100	0.007694872096180916	0.006261859554797411	0.007694878149777651	5.500000000000001e-05	1765373690
1200	0.007263347506523132	0.0068328180350363255	0.007263354491442442	6e-05	1765373782
1300	0.01562841236591339	0.005756754893809557	0.01562841795384884	6.500000000000001e-05	1765373874
1400	0.005465095862746239	0.00749549362808466	0.005465103313326836	7e-05	1765373966
1500	0.005287136882543564	0.008220197632908821	0.005287145264446735	7.500000000000001e-05	1765374058
1600	0.003404932329431176	0.008452960290014744	0.0034049407113343477	8e-05	1765374150
1700	0.002776704728603363	0.009018549695611	0.0027767138089984655	8.5e-05	1765374242
1800	0.00455884262919426	0.00904267467558384	0.0045588514767587185	9e-05	1765374334
1900	0.006457771640270948	0.009323970414698124	0.0064577809534966946	9.5e-05	1765374425
2000	0.005017210729420185	0.009189505130052567	0.005017220042645931	0.0001	1765374516
2100	0.003273752750828862	0.00971631146967411	0.0032737625297158957	9.999238475781957e-05	1765374608
2200	0.0018678026972338557	0.010841380804777145	0.0018678135238587856	9.99695413509548e-05	1765374700
2300	0.0021543633192777634	0.010881111957132816	0.002154374262318015	9.99314767377287e-05	1765374792
2400	0.004189059138298035	0.009808467701077461	0.004189068917185068	9.987820251299122e-05	1765374883
2500	0.001981724053621292	0.011531881988048553	0.001981735695153475	9.980973490458728e-05	1765374975
2600	0.002436217851936817	0.011202758178114891	0.0024362290278077126	9.972609476841367e-05	1765375067
2700	0.0034651979804039	0.011627784930169582	0.003465209621936083	9.962730758206611e-05	1765375159
2800	0.007260434329509735	0.010973830707371235	0.0072604455053806305	9.951340343707852e-05	1765375251
2900	0.0012728420551866293	0.012308035977184772	0.001272854395210743	9.938441702975689e-05	1765375343
3000	0.0036605368368327618	0.011807681992650032	0.003660548711195588	9.924038765061042e-05	1765375435
3100	0.0019134635804221034	0.012554462999105453	0.0019134761532768607	9.908135917238321e-05	1765375527
3200	0.0021793278865516186	0.012465372681617737	0.002179340459406376	9.890738003669029e-05	1765375619
3300	0.0008992300136014819	0.013979127630591393	0.0008992439834401011	9.871850323926177e-05	1765375711
3400	0.002498199697583914	0.013371698558330536	0.002498212968930602	9.851478631379982e-05	1765375803
3500	0.00439063087105751	0.012576945126056671	0.004390643443912268	9.829629131445342e-05	1765375895
3600	0.0020778810139745474	0.012879135087132454	0.0020778938196599483	9.806308479691595e-05	1765375986
3700	0.0011704899370670319	0.013701936230063438	0.0011705036740750074	9.781523779815179e-05	1765376078
3800	0.0011486767325550318	0.014298494905233383	0.0011486910516396165	9.755282581475769e-05	1765376169
3900	0.0010300048161298037	0.014528095722198486	0.001030019368045032	9.727592877996585e-05	1765376261
4000	0.0011417963542044163	0.014001840725541115	0.0011418103240430355	9.698463103929542e-05	1765376353
4100	0.001352848601527512	0.013945955783128738	0.0013528625713661313	9.667902132486009e-05	1765376445
4200	0.0009963373886421323	0.015247700735926628	0.0009963526390492916	9.635919272833938e-05	1765376536
4300	0.0006752817425876856	0.015328938141465187	0.0006752970512025058	9.602524267262203e-05	1765376628
4400	0.001191458897665143	0.013385509140789509	0.0011914722854271531	9.567727288213005e-05	1765376720
4500	0.0033327429555356503	0.014066331088542938	0.0033327569253742695	9.53153893518325e-05	1765376813
4600	0.0014350316487252712	0.015252888202667236	0.0014350468991324306	9.493970231495835e-05	1765376904
4700	0.000632755400147289	0.015787765383720398	0.0006327711744233966	9.45503262094184e-05	1765376997
4800	0.0012590305414050817	0.014322793111205101	0.0012590448604896665	9.414737964294636e-05	1765377088
4900	0.000528416596353054	0.016057932749390602	0.0005284326616674662	9.373098535696979e-05	1765377181
5000	0.0007482403889298439	0.0158124677836895	0.0007482562214136124	9.330127018922194e-05	1765377273
5100	0.00139718409627676	0.014013517647981644	0.0013971980661153793	9.285836503510562e-05	1765377365
5200	0.0010607554577291012	0.01476454921066761	0.0010607702424749732	9.24024048078213e-05	1765377457
5300	0.0007406751392409205	0.016218697652220726	0.0007406913791783154	9.193352839727121e-05	1765377548
5400	0.0012470660731196404	0.014899533241987228	0.0012470809742808342	9.145187862775209e-05	1765377640
5500	0.0007415363797917962	0.015555920079350471	0.0007415519212372601	9.09576022144496e-05	1765377731
5600	0.0008422816754318774	0.015809526666998863	0.0008422975079156458	9.045084971874738e-05	1765377823
5700	0.0028713394422084093	0.015075131319463253	0.002871354576200247	8.993177550236464e-05	1765377915
5800	0.0008253422565758228	0.015895141288638115	0.0008253581472672522	8.940053768033609e-05	1765378007
5900	0.000561669934540987	0.01590052619576454	0.0005616858252324164	8.885729807284856e-05	1765378099
6000	0.001445978181436658	0.015231594443321228	0.0014459934318438172	8.83022221559489e-05	1765378190
6100	0.0007583551341667771	0.014770759269595146	0.0007583699189126492	8.773547901113862e-05	1765378283
6200	0.0005786699475720525	0.015900112688541412	0.0005786858382634819	8.715724127386972e-05	1765378374
6300	0.002214571461081505	0.014446256682276726	0.0022145858965814114	8.656768508095853e-05	1765378466
6400	0.0008273341227322817	0.01539046410471201	0.0008273494895547628	8.596699001693255e-05	1765378558
6500	0.0003801413986366242	0.016553856432437897	0.0003801579587161541	8.535533905932738e-05	1765378650
6600	0.0005010629538446665	0.01657387614250183	0.0005010795430280268	8.473291852294987e-05	1765378742
6700	0.0006169041735120118	0.016321931034326553	0.0006169204716570675	8.409991800312493e-05	1765378835
6800	0.0005578427808359265	0.016353385522961617	0.0005578591371886432	8.345653031794292e-05	1765378926
6900	0.0009566247463226318	0.015513375401496887	0.0009566402877680957	8.280295144952536e-05	1765379018
7000	0.0004631644696928561	0.01687171310186386	0.000463181349914521	8.213938048432697e-05	1765379109
7100	0.0014041539980098605	0.01582588255405426	0.001404169830493629	8.146601955249188e-05	1765379201
7200	0.0007693870575167239	0.014883516356348991	0.0007694019586779177	8.07830737662829e-05	1765379292
7300	0.0005480973632074893	0.015614857897162437	0.0005481129628606141	8.009075115760243e-05	1765379384
7400	0.00044265890028327703	0.015897445380687714	0.0004426747909747064	7.938926261462366e-05	1765379476
7500	0.00030386500293388963	0.01738058403134346	0.0003038823779206723	7.86788218175523e-05	1765379568
7600	0.0008084247820079327	0.014975141733884811	0.0008084397413767874	7.795964517353735e-05	1765379659
7700	0.0005427586729638278	0.01711900532245636	0.0005427757860161364	7.723195175075136e-05	1765379751
7800	0.0004803172196261585	0.01623380556702614	0.00048033345956355333	7.649596321166024e-05	1765379843
7900	0.00037020721356384456	0.016687903553247452	0.00037022389005869627	7.575190374550272e-05	1765379935
8000	0.0008290748810395598	0.016236452385783195	0.0008290911209769547	7.500000000000001e-05	1765380027
8100	0.0006405541207641363	0.01608007401227951	0.0006405701860785484	7.424048101231686e-05	1765380119
8200	0.000370797177311033	0.016340307891368866	0.00037081350455991924	7.347357813929454e-05	1765380211
8300	0.0004886980168521404	0.017168937250971794	0.0004887151881121099	7.269952498697734e-05	1765380303
8400	0.0003491349925752729	0.017876949161291122	0.00034915286232717335	7.191855733945387e-05	1765380395
