step	loss	lr	timestamp
50	0.06206757202744484	5e-07	1761582013
100	0.02844241075217724	1e-06	1761582036
150	0.03763866424560547	1.5e-06	1761582060
200	0.032881155610084534	2e-06	1761582083
250	0.0872657373547554	1.999995025485366e-06	1761582107
300	0.031740136444568634	1.9999801019909553e-06	1761582131
350	0.03368216007947922	1.9999552296652428e-06	1761582154
400	0.033393874764442444	1.999920408755684e-06	1761582178
450	0.06762784719467163	1.999875639608712e-06	1761582202
500	0.12007563561201096	1.9998209226697377e-06	1761582226
550	0.031859688460826874	1.9997562584831406e-06	1761582254
600	0.032456330955028534	1.9996816476922674e-06	1761582287
650	0.038262393325567245	1.9995970910394226e-06	1761582320
700	0.15233474969863892	1.9995025893658624e-06	1761582353
