image_name,signal_b50,signal_b800,pixel_ratio
../binary_PNG/binary_labels_mask_case_id_TCGA-YA-A8S7_3_1_cell_expansion_7_0_threshold_0_7.png,24090.04874553966,12296.88340151767,
../binary_PNG/binary_labels_mask_case_id_TCGA-CC-A8HT_3_4_cell_expansion_13_0_threshold_0_8.png,22765.582444566582,5639.708756821316,
../binary_PNG/binary_labels_mask_case_id_TCGA-CC-A1HT_4_1_cell_expansion_15_0_threshold_0_5.png,24778.209757480734,17154.599248759856,
../binary_PNG/binary_labels_mask_case_id_TCGA-K7-AAU7_2_0_cell_expansion_11_0_threshold_0_6.png,22560.85642068167,4510.1062819637455,
../binary_PNG/binary_labels_mask_case_id_TCGA-G3-A7M6_2_0_cell_expansion_5_0_threshold_0_6.png,24561.98612716961,15844.638122840857,
../binary_PNG/binary_labels_mask_case_id_TCGA-G3-A5SK_2_0_cell_expansion_11_0_threshold_0_7.png,24461.170737385888,14925.328044951191,
../binary_PNG/binary_labels_mask_case_id_TCGA-CC-5261_2_4_cell_expansion_9_0_threshold_0_8.png,24241.03807425233,13211.143185014842,
../binary_PNG/binary_labels_mask_case_id_TCGA-YA-A8S7_0_1_cell_expansion_11_0_threshold_0_8.png,23478.79550788618,9045.837692286237,
../binary_PNG/binary_labels_mask_case_id_TCGA-K7-AAU7_1_1_cell_expansion_3_0_threshold_0_4.png,24208.158044002124,13862.194638621784,
../binary_PNG/binary_labels_mask_case_id_TCGA-YA-A8S7_2_4_cell_expansion_3_0_threshold_0_5.png,22449.204203362955,4127.227824507435,
../binary_PNG/binary_labels_mask_case_id_TCGA-K7-AAU7_2_3_cell_expansion_3_0_threshold_0_7.png,22874.26950095544,6106.3688107037515,
../binary_PNG/binary_labels_mask_case_id_TCGA-BC-A69I_1_3_cell_expansion_3_0_threshold_0_7.png,23509.444177317582,9447.553927331268,
../binary_PNG/binary_labels_mask_case_id_TCGA-BC-A69I_0_1_cell_expansion_1_0_threshold_0_4.png,23297.501333060693,8461.936575073914,
../binary_PNG/binary_labels_mask_case_id_TCGA-CC-A3MA_2_1_cell_expansion_11_0_threshold_0_4.png,24917.824526329023,18508.69556226864,0.1604837710056133
../binary_PNG/binary_labels_mask_case_id_TCGA-CC-A8HT_0_4_cell_expansion_7_0_threshold_0_8.png,22864.64339710514,6065.618292175115,0.1605043207253152
../binary_PNG/binary_labels_mask_case_id_TCGA-CC-A3MA_1_4_cell_expansion_13_0_threshold_0_6.png,24829.44647457547,17358.249651347207,
../binary_PNG/binary_labels_mask_case_id_TCGA-CC-A3MA_0_4_cell_expansion_9_0_threshold_0_8.png,22769.041736826748,5525.703335830648,
../binary_PNG/binary_labels_mask_case_id_TCGA-DD-AAED_0_4_cell_expansion_15_0_threshold_0_5.png,24656.523688795838,15862.391645371456,
../binary_PNG/binary_labels_mask_case_id_TCGA-CC-A3MA_1_0_cell_expansion_9_0_threshold_0_4.png,24865.215445538648,17731.758977996644,
../binary_PNG/binary_labels_mask_case_id_TCGA-CC-A8HT_3_0_cell_expansion_11_0_threshold_0_8.png,23497.628803499112,9080.48287652119,
../binary_PNG/binary_labels_mask_case_id_TCGA-CC-A8HT_1_1_cell_expansion_7_0_threshold_0_8.png,23112.311336366227,7123.106372558967,0.3096722621902478
../binary_PNG/binary_labels_mask_case_id_TCGA-G3-A5SK_1_1_cell_expansion_11_0_threshold_0_5.png,24366.448719023156,14030.597428184072,1.102197273456295
../binary_PNG/binary_labels_mask_case_id_TCGA-CC-A8HT_3_1_cell_expansion_5_0_threshold_0_8.png,22908.921346295658,6245.540788869711,
../binary_PNG/binary_labels_mask_case_id_TCGA-DD-AAED_4_4_cell_expansion_5_0_threshold_0_6.png,24797.354695321203,17338.663013279333,
