step	loss	lr	ts
50	0.6241605877876282	2.5e-06	1764301079
100	0.20235997438430786	5e-06	1764301104
150	0.07887201011180878	7.5e-06	1764301130
200	0.044731952250003815	1e-05	1764301155
250	0.07542426884174347	1.25e-05	1764301180
300	0.03439444676041603	1.5e-05	1764301205
350	0.02784685045480728	1.75e-05	1764301231
400	0.03978005051612854	2e-05	1764301256
450	0.02368418499827385	2.25e-05	1764301281
500	0.029729008674621582	2.5e-05	1764301306
550	0.03559527546167374	2.7500000000000004e-05	1764301331
600	0.03070664592087269	3e-05	1764301356
650	0.024742063134908676	3.2500000000000004e-05	1764301381
700	0.041751403361558914	3.5e-05	1764301407
750	0.017453055828809738	3.7500000000000003e-05	1764301432
800	0.017943307757377625	4e-05	1764301457
850	0.018374504521489143	4.25e-05	1764301482
900	0.018742434680461884	4.5e-05	1764301508
950	0.01267469022423029	4.75e-05	1764301533
1000	0.018112558871507645	5e-05	1764301558
1050	0.01605660654604435	4.999996853126489e-05	1764301583
1100	0.018341438844799995	4.999987412513878e-05	1764301608
1150	0.011023001745343208	4.999971678185933e-05	1764301634
1200	0.02616186998784542	4.999949650182266e-05	1764301659
1250	0.015290545299649239	4.999921328558333e-05	1764301684
1300	0.01024098414927721	4.999886713385432e-05	1764301709
1350	0.014897560700774193	4.999845804750709e-05	1764301735
1400	0.019138844683766365	4.9997986027571485e-05	1764301760
1450	0.013930532149970531	4.9997451075235834e-05	1764301785
1500	0.014587361365556717	4.9996853191846885e-05	1764301810
1550	0.023811347782611847	4.9996192378909786e-05	1764301835
1600	0.017934059724211693	4.999546863808815e-05	1764301861
1650	0.017935102805495262	4.9994681971203985e-05	1764301886
1700	0.010295497253537178	4.9993832380237735e-05	1764301911
1750	0.019680451601743698	4.999291986732823e-05	1764301936
1800	0.014799079857766628	4.9991944434772734e-05	1764301961
1850	0.013173260726034641	4.999090608502688e-05	1764301986
1900	0.009600737132132053	4.9989804820704735e-05	1764302011
1950	0.009176619350910187	4.998864064457871e-05	1764302037
2000	0.015397969633340836	4.9987413559579636e-05	1764302062
2050	0.011930827051401138	4.998612356879667e-05	1764302087
2100	0.00893863383680582	4.99847706754774e-05	1764302112
2150	0.011181412264704704	4.99833548830277e-05	1764302138
2200	0.01014179177582264	4.9981876195011844e-05	1764302163
2250	0.026573805138468742	4.998033461515242e-05	1764302188
2300	0.013667229562997818	4.9978730147330355e-05	1764302213
2350	0.014327050186693668	4.9977062795584893e-05	1764302238
2400	0.012860209681093693	4.99753325641136e-05	1764302264
2450	0.01025342382490635	4.997353945727232e-05	1764302289
2500	0.018588677048683167	4.99716834795752e-05	1764302314
2550	0.009208513423800468	4.996976463569467e-05	1764302339
2600	0.009346920996904373	4.996778293046141e-05	1764302365
2650	0.013675350695848465	4.996573836886435e-05	1764302390
2700	0.010957006365060806	4.996363095605069e-05	1764302415
2750	0.015297177247703075	4.996146069732583e-05	1764302440
2800	0.019618764519691467	4.995922759815339e-05	1764302465
2850	0.01254501286894083	4.995693166415521e-05	1764302491
2900	0.014905208721756935	4.9954572901111286e-05	1764302516
2950	0.012610562145709991	4.995215131495981e-05	1764302541
3000	0.016145244240760803	4.994966691179711e-05	1764302566
3050	0.009785566478967667	4.994711969787769e-05	1764302591
3100	0.010663101449608803	4.994450967961413e-05	1764302616
3150	0.012527473270893097	4.994183686357717e-05	1764302642
3200	0.017777439206838608	4.993910125649561e-05	1764302667
3250	0.010330619290471077	4.993630286525634e-05	1764302692
3300	0.011790260672569275	4.993344169690431e-05	1764302717
3350	0.010864787735044956	4.9930517758642503e-05	1764302742
3400	0.010923556983470917	4.992753105783194e-05	1764302768
3450	0.012519385665655136	4.992448160199162e-05	1764302793
3500	0.008700277656316757	4.992136939879856e-05	1764302818
3550	0.020448938012123108	4.991819445608772e-05	1764302843
3600	0.0150010846555233	4.991495678185202e-05	1764302869
3650	0.012171790935099125	4.991165638424229e-05	1764302894
3700	0.014437943696975708	4.9908293271567286e-05	1764302919
3750	0.011302977800369263	4.990486745229364e-05	1764302945
3800	0.011256087571382523	4.990137893504585e-05	1764302970
3850	0.013634184375405312	4.989782772860624e-05	1764302995
3900	0.012657969258725643	4.989421384191499e-05	1764303020
3950	0.005898711271584034	4.9890537284070037e-05	1764303046
4000	0.013951685279607773	4.988679806432712e-05	1764303071
4050	0.008686012588441372	4.988299619209972e-05	1764303096
4100	0.008563311770558357	4.987913167695904e-05	1764303122
4150	0.008611893281340599	4.987520452863399e-05	1764303147
4200	0.015985630452632904	4.9871214757011176e-05	1764303172
4250	0.011422794312238693	4.986716237213484e-05	1764303197
4300	0.00867705512791872	4.9863047384206835e-05	1764303222
4350	0.015016356483101845	4.985886980358666e-05	1764303247
4400	0.010753794573247433	4.985462964079137e-05	1764303273
4450	0.013889207504689693	4.985032690649556e-05	1764303298
4500	0.011401762254536152	4.984596161153136e-05	1764303323
4550	0.018443942070007324	4.9841533766888395e-05	1764303348
4600	0.013069291599094868	4.9837043383713753e-05	1764303374
4650	0.010086792521178722	4.983249047331199e-05	1764303399
4700	0.010574085637927055	4.982787504714503e-05	1764303424
4750	0.011430894024670124	4.982319711683221e-05	1764303449
4800	0.013182895258069038	4.981845669415022e-05	1764303474
4850	0.013373599387705326	4.9813653791033057e-05	1764303500
4900	0.009904376231133938	4.980878841957203e-05	1764303525
4950	0.01044259313493967	4.9803860592015704e-05	1764303550
5000	0.0109965605661273	4.9798870320769886e-05	1764303575
5050	0.012516813352704048	4.979381761839757e-05	1764303601
5100	0.012457367032766342	4.978870249761893e-05	1764303626
5150	0.010838238522410393	4.978352497131128e-05	1764303651
5200	0.010231537744402885	4.977828505250903e-05	1764303676
5250	0.010472039692103863	4.977298275440368e-05	1764303701
5300	0.010396691970527172	4.9767618090343745e-05	1764303727
5350	0.013072066940367222	4.9762191073834776e-05	1764303752
5400	0.010924573056399822	4.975670171853926e-05	1764303777
5450	0.010783471167087555	4.975115003827666e-05	1764303802
5500	0.009383944794535637	4.9745536047023324e-05	1764303828
5550	0.010660426691174507	4.973985975891245e-05	1764303853
5600	0.01381197664886713	4.973412118823412e-05	1764303878
5650	0.011974381282925606	4.972832034943514e-05	1764303903
5700	0.015774261206388474	4.972245725711914e-05	1764303928
5750	0.007560053840279579	4.9716531926046446e-05	1764303954
5800	0.011203629896044731	4.971054437113406e-05	1764303979
5850	0.00929857138544321	4.970449460745566e-05	1764304004
5900	0.009177704341709614	4.969838265024151e-05	1764304029
5950	0.013099972158670425	4.9692208514878444e-05	1764304055
6000	0.009071116335690022	4.968597221690986e-05	1764304080
6050	0.012676551938056946	4.9679673772035624e-05	1764304105
6100	0.012665508314967155	4.967331319611206e-05	1764304130
6150	0.013824304565787315	4.9666890505151906e-05	1764304155
6200	0.010429756715893745	4.96604057153243e-05	1764304181
6250	0.010137665085494518	4.965385884295467e-05	1764304206
6300	0.014127415604889393	4.964724990452476e-05	1764304232
6350	0.011411827057600021	4.964057891667259e-05	1764304257
6400	0.012024039402604103	4.963384589619233e-05	1764304282
6450	0.012648547999560833	4.962705086003437e-05	1764304307
6500	0.011565225198864937	4.962019382530521e-05	1764304333
6550	0.011790763586759567	4.9613274809267404e-05	1764304358
6600	0.009593265131115913	4.9606293829339595e-05	1764304383
6650	0.009614145383238792	4.959925090309637e-05	1764304408
6700	0.011038092896342278	4.959214604826831e-05	1764304433
6750	0.009992560371756554	4.958497928274185e-05	1764304459
6800	0.008236085996031761	4.957775062455933e-05	1764304484
6850	0.010230010375380516	4.957046009191889e-05	1764304510
6900	0.00901087373495102	4.9563107703174436e-05	1764304535
6950	0.010598740540444851	4.9555693476835597e-05	1764304560
7000	0.00808569137006998	4.9548217431567665e-05	1764304585
7050	0.009672967717051506	4.9540679586191605e-05	1764304610
7100	0.013615569099783897	4.95330799596839e-05	1764304636
