image_name,signal_b50,signal_b800,signal_b2000
labels_mask_case_id_TCGA-G3-A7M6_0_4_cell_expansion_9_0_threshold_0_4_facet_size_3.0.csv.tif,24708.471866256423,16544.356553352445,10287.020875349412
labels_mask_case_id_TCGA-CC-A3MA_3_1_cell_expansion_13_0_threshold_0_5_facet_size_3.0.csv.tif,24847.78572909308,17955.879848426124,12322.871394655582
labels_mask_case_id_TCGA-CC-A3MA_3_0_cell_expansion_15_0_threshold_0_8_facet_size_3.0.csv.tif,22295.564725834272,3345.912720479547,555.5313772235761
labels_mask_case_id_TCGA-CC-5261_2_2_cell_expansion_15_0_threshold_0_7_facet_size_3.0.csv.tif,24685.595940050232,16228.480622665154,9812.03793543495
labels_mask_case_id_TCGA-CC-A8HT_1_2_cell_expansion_9_0_threshold_0_8_facet_size_3.0.csv.tif,22849.29616519636,6021.1019962642495,2312.2045839869274
labels_mask_case_id_TCGA-DD-AAED_2_1_cell_expansion_15_0_threshold_0_6_facet_size_3.0.csv.tif,24766.875443307355,16832.35648206821,10281.967187827062
labels_mask_case_id_TCGA-DD-AAED_3_2_cell_expansion_9_0_threshold_0_4_facet_size_3.0.csv.tif,24842.94865711564,17498.690097324594,11133.969345430996
labels_mask_case_id_TCGA-CC-A8HT_3_2_cell_expansion_13_0_threshold_0_6_facet_size_3.0.csv.tif,24584.78874849688,15739.94833570161,9710.919267967394
labels_mask_case_id_TCGA-CC-A3MA_0_4_cell_expansion_11_0_threshold_0_7_facet_size_3.0.csv.tif,23603.518303070443,9783.609987923308,4765.541982361143
labels_mask_case_id_TCGA-YA-A8S7_2_0_cell_expansion_15_0_threshold_0_8_facet_size_3.0.csv.tif,23364.8630334915,8132.009481775669,3201.489175637122
labels_mask_case_id_TCGA-G3-A7M6_4_3_cell_expansion_9_0_threshold_0_4_facet_size_3.0.csv.tif,24471.397977090684,15011.6540542051,8928.57221331324
labels_mask_case_id_TCGA-CC-A1HT_4_1_cell_expansion_3_0_threshold_0_5_facet_size_3.0.csv.tif,24375.49266242594,14681.752951416323,9273.5842886991
labels_mask_case_id_TCGA-CC-A8HT_1_0_cell_expansion_15_0_threshold_0_6_facet_size_3.0.csv.tif,24623.70721514125,15943.765321296,9773.123224845527
labels_mask_case_id_TCGA-G3-A7M6_4_2_cell_expansion_9_0_threshold_0_8_facet_size_3.0.csv.tif,22723.31939963952,5456.755730687819,1989.355406133332
labels_mask_case_id_TCGA-CC-5261_1_2_cell_expansion_5_0_threshold_0_8_facet_size_3.0.csv.tif,23452.63547486248,8900.243623109656,4107.514918688605
labels_mask_case_id_TCGA-CC-A8HT_1_4_cell_expansion_13_0_threshold_0_4_facet_size_3.0.csv.tif,24767.010655788024,16915.064187322445,10581.422841266478
labels_mask_case_id_TCGA-CC-A3MA_4_1_cell_expansion_1_0_threshold_0_7_facet_size_3.0.csv.tif,23540.647007742547,9742.37360004776,5479.964869352402
labels_mask_case_id_TCGA-G3-A5SK_3_4_cell_expansion_15_0_threshold_0_4_facet_size_3.0.csv.tif,24947.650402051466,18803.58994283057,13256.660658672808
labels_mask_case_id_TCGA-K7-AAU7_3_4_cell_expansion_15_0_threshold_0_5_facet_size_3.0.csv.tif,24225.60590402694,13372.369067370104,7665.240537924717
labels_mask_case_id_TCGA-CC-5261_2_1_cell_expansion_5_0_threshold_0_7_facet_size_3.0.csv.tif,24039.03400961843,12357.95514216058,6819.8007968704405
labels_mask_case_id_TCGA-BC-A69I_4_0_cell_expansion_11_0_threshold_0_6_facet_size_3.0.csv.tif,24273.290564603667,13385.88186318094,7228.075132219794
labels_mask_case_id_TCGA-K7-AAU7_1_2_cell_expansion_11_0_threshold_0_5_facet_size_3.0.csv.tif,24199.57771761743,13475.221725729058,8176.565566656823
labels_mask_case_id_TCGA-CC-5261_1_3_cell_expansion_3_0_threshold_0_7_facet_size_3.0.csv.tif,23749.848543109023,10827.88749216975,5926.625777892231
labels_mask_case_id_TCGA-G3-A5SK_4_2_cell_expansion_3_0_threshold_0_7_facet_size_3.0.csv.tif,23517.77527237264,9570.67438065531,5215.477881502782
labels_mask_case_id_TCGA-CC-5261_0_4_cell_expansion_13_0_threshold_0_6_facet_size_3.0.csv.tif,24652.832994377422,16331.619969762698,10520.438424771266
labels_mask_case_id_TCGA-CC-A3MA_2_1_cell_expansion_3_0_threshold_0_5_facet_size_3.0.csv.tif,24549.838196682693,16081.452406011991,10923.977013271391
labels_mask_case_id_TCGA-G3-A5SK_0_1_cell_expansion_11_0_threshold_0_5_facet_size_3.0.csv.tif,24607.432716046183,15887.597571043882,9832.215303746409
labels_mask_case_id_TCGA-G3-A5SK_1_0_cell_expansion_7_0_threshold_0_5_facet_size_3.0.csv.tif,24562.07730150347,15666.203278830177,9638.436095827064
labels_mask_case_id_TCGA-CC-A3MA_3_4_cell_expansion_5_0_threshold_0_6_facet_size_3.0.csv.tif,24439.45569751256,14962.822138313368,9112.913304154084
labels_mask_case_id_TCGA-CC-5261_3_0_cell_expansion_15_0_threshold_0_8_facet_size_3.0.csv.tif,23584.47449227926,9550.996520173398,4389.37163427742
labels_mask_case_id_TCGA-CC-A3MA_4_1_cell_expansion_5_0_threshold_0_5_facet_size_3.0.csv.tif,24672.119387994957,16441.73195562674,10438.461628772782
labels_mask_case_id_TCGA-CC-A3MA_1_3_cell_expansion_11_0_threshold_0_7_facet_size_3.0.csv.tif,24541.95391955567,15089.92210410623,8637.306246860087
labels_mask_case_id_TCGA-CC-A3MA_1_4_cell_expansion_5_0_threshold_0_7_facet_size_3.0.csv.tif,24638.530338369725,15973.489964912524,9680.108656062772
labels_mask_case_id_TCGA-K7-AAU7_1_4_cell_expansion_9_0_threshold_0_8_facet_size_3.0.csv.tif,22295.564725834272,3345.912720479547,555.5313772235761
labels_mask_case_id_TCGA-G3-A5SK_2_2_cell_expansion_5_0_threshold_0_7_facet_size_3.0.csv.tif,24187.53060643432,13235.158218533948,7573.8317912763
labels_mask_case_id_TCGA-DD-AAED_4_0_cell_expansion_9_0_threshold_0_5_facet_size_3.0.csv.tif,24653.53193458539,16299.420371711303,10198.301586502765
labels_mask_case_id_TCGA-CC-5261_4_0_cell_expansion_5_0_threshold_0_8_facet_size_3.0.csv.tif,23343.024196350325,8450.300067805534,3784.796890902866
labels_mask_case_id_TCGA-CC-5261_2_2_cell_expansion_13_0_threshold_0_4_facet_size_3.0.csv.tif,24819.216824220664,17349.684144082574,11116.625682098473
labels_mask_case_id_TCGA-DD-AAED_2_1_cell_expansion_13_0_threshold_0_5_facet_size_3.0.csv.tif,24791.847100525345,17050.20561489939,10531.563024244864
labels_mask_case_id_TCGA-G3-A7M6_4_2_cell_expansion_9_0_threshold_0_4_facet_size_3.0.csv.tif,24702.894139433414,17533.03342623504,12744.098401663015
labels_mask_case_id_TCGA-BC-A69I_1_1_cell_expansion_9_0_threshold_0_5_facet_size_3.0.csv.tif,24367.815341592777,14047.203786952708,7951.333383909674
labels_mask_case_id_TCGA-YA-A8S7_2_4_cell_expansion_13_0_threshold_0_6_facet_size_3.0.csv.tif,22379.53262333526,3769.691765016888,851.282079073336
labels_mask_case_id_TCGA-CC-5261_3_4_cell_expansion_3_0_threshold_0_8_facet_size_3.0.csv.tif,23174.03264091668,7603.941997012469,3374.069071346706
labels_mask_case_id_TCGA-DD-AAED_3_3_cell_expansion_11_0_threshold_0_7_facet_size_3.0.csv.tif,24766.36495988055,16893.224744714615,10443.65687572546
labels_mask_case_id_TCGA-CC-5261_2_3_cell_expansion_11_0_threshold_0_7_facet_size_3.0.csv.tif,24619.27693384738,15652.9699629511,9049.284323917223
labels_mask_case_id_TCGA-CC-A3MA_0_0_cell_expansion_15_0_threshold_0_8_facet_size_3.0.csv.tif,23276.322263223563,8008.097649392179,3274.9195372044624
labels_mask_case_id_TCGA-G3-A5SK_1_1_cell_expansion_1_0_threshold_0_6_facet_size_3.0.csv.tif,22992.27421057242,6838.240772974421,3418.8846603287548
