step	loss	lr	ts	t_mean	drop_ratio	black_ratio	latent_mean	latent_std
50	0.2312181144952774	5e-06	1770300280	343.125	0.0	0.0	-0.04677078500390053	0.8239247798919678
100	0.2165313959121704	5e-06	1770300286	485.1875	0.0	0.0	-0.04677078500390053	0.8239247798919678
150	0.19138340651988983	5e-06	1770300293	467.625	0.0	0.0	-0.04677078500390053	0.8239247798919678
200	0.212070494890213	5e-06	1770300300	527.625	0.0	0.0	-0.04677078500390053	0.8239247798919678
250	0.2100313901901245	5e-06	1770300307	573.5	0.0	0.0	-0.04677078500390053	0.8239247798919678
300	0.21980604529380798	5e-06	1770300314	583.1875	0.0	0.0	-0.04677078500390053	0.8239247798919678
350	0.1628035455942154	5e-06	1770300321	435.5625	0.0	0.0	-0.04677078500390053	0.8239247798919678
400	0.14412519335746765	5e-06	1770300328	374.25	0.0	0.0	-0.04677078500390053	0.8239247798919678
450	0.17471377551555634	5e-06	1770300335	491.375	0.0	0.0	-0.04677078500390053	0.8239247798919678
500	0.20618364214897156	5e-06	1770300342	654.875	0.0	0.0	-0.04677078500390053	0.8239247798919678
550	0.19167475402355194	5e-06	1770300348	557.5625	0.0	0.0	-0.04677078500390053	0.8239247798919678
600	0.16005012392997742	5e-06	1770300355	473.25	0.0	0.0	-0.04677078500390053	0.8239247798919678
650	0.14994320273399353	5e-06	1770300362	435.875	0.0	0.0	-0.04677078500390053	0.8239247798919678
700	0.18410474061965942	5e-06	1770300370	537.5	0.0	0.0	-0.04677078500390053	0.8239247798919678
750	0.16093948483467102	5e-06	1770300376	485.5	0.0	0.0	-0.04677078500390053	0.8239247798919678
800	0.13355910778045654	5e-06	1770300384	447.0625	0.0	0.0	-0.04677078500390053	0.8239247798919678
850	0.2162555456161499	5e-06	1770300390	678.6875	0.0	0.0	-0.04677078500390053	0.8239247798919678
900	0.17273563146591187	5e-06	1770300398	566.625	0.0	0.0	-0.04677078500390053	0.8239247798919678
950	0.13298293948173523	5e-06	1770300404	426.1875	0.0	0.0	-0.04677078500390053	0.8239247798919678
1000	0.1578335165977478	5e-06	1770300411	559.25	0.0	0.0	-0.04677078500390053	0.8239247798919678
1050	0.1339450478553772	5e-06	1770300419	439.0625	0.0	0.0	-0.04677078500390053	0.8239247798919678
1100	0.1489780843257904	5e-06	1770300425	550.5625	0.0	0.0	-0.04677078500390053	0.8239247798919678
1150	0.16576939821243286	5e-06	1770300432	560.375	0.0	0.0	-0.04677078500390053	0.8239247798919678
1200	0.12390993535518646	5e-06	1770300439	399.1875	0.0	0.0	-0.04677078500390053	0.8239247798919678
1250	0.147472083568573	5e-06	1770300446	584.375	0.0	0.0	-0.04677078500390053	0.8239247798919678
1300	0.13003131747245789	5e-06	1770300453	441.5	0.0	0.0	-0.04677078500390053	0.8239247798919678
1350	0.1536397784948349	5e-06	1770300460	565.5625	0.0	0.0	-0.04677078500390053	0.8239247798919678
