step	loss	lr	timestamp
50	0.06119394302368164	1.25e-05	1761151927
100	0.02548188716173172	2.5e-05	1761151950
150	0.03347684442996979	3.7500000000000003e-05	1761151973
200	0.029516220092773438	5e-05	1761151997
250	0.07958162575960159	4.999987563713415e-05	1761152020
300	0.02811327576637268	4.999950254977389e-05	1761152044
350	0.030404914170503616	4.999888074163108e-05	1761152067
400	0.03106951341032982	4.99980102188921e-05	1761152091
450	0.060236796736717224	4.9996890990217804e-05	1761152115
500	0.11131784319877625	4.999552306674344e-05	1761152138
550	0.03559825196862221	4.999390646207852e-05	1761152162
600	0.029972821474075317	4.999204119230669e-05	1761152185
650	0.038926512002944946	4.998992727598557e-05	1761152208
700	0.16149434447288513	4.9987564734146566e-05	1761152232
750	0.02809986285865307	4.9984953590294694e-05	1761152255
800	0.05490522086620331	4.998209387040829e-05	1761152279
850	0.045532550662755966	4.997898560293879e-05	1761152302
900	0.03940289840102196	4.9975628818810446e-05	1761152326
950	0.023092737421393394	4.997202355141999e-05	1761152349
1000	0.028810013085603714	4.9968169836636345e-05	1761152372
1050	0.028253324329853058	4.996406771280023e-05	1761152396
1100	0.04102090001106262	4.9959717220723784e-05	1761152419
1150	0.10424955189228058	4.995511840369019e-05	1761152442
1200	0.036249615252017975	4.995027130745321e-05	1761152466
1250	0.033498458564281464	4.994517598023675e-05	1761152490
1300	0.042482078075408936	4.9939832472734367e-05	1761152513
1350	0.0757962167263031	4.993424083810877e-05	1761152536
1400	0.04082773998379707	4.9928401131991305e-05	1761152560
1450	0.06560675799846649	4.992231341248137e-05	1761152583
1500	0.03887282311916351	4.9915977740145865e-05	1761152607
1550	0.08133654296398163	4.990939417801859e-05	1761152630
1600	0.03755149245262146	4.9902562791599576e-05	1761152654
1650	0.04393700510263443	4.989548364885451e-05	1761152677
1700	0.06622058898210526	4.9888156820213974e-05	1761152701
1750	0.04311574995517731	4.988058237857281e-05	1761152724
1800	0.09516624361276627	4.987276039928936e-05	1761152748
1850	0.05689059942960739	4.986469096018472e-05	1761152771
1900	0.023756109178066254	4.985637414154197e-05	1761152795
1950	0.024982407689094543	4.9847810026105394e-05	1761152818
2000	0.06837821006774902	4.9838998699079625e-05	1761152842
2050	0.046119146049022675	4.9829940248128806e-05	1761152866
2100	0.034393489360809326	4.982063476337574e-05	1761152890
2150	0.040699221193790436	4.9811082337400964e-05	1761152913
