t_bucket,mean_log10_loss,std_log10_loss,num_points
0,-0.7861347526614615,,1
1,-1.229690057161528,0.7357588694373962,7
2,-1.5011661480246532,0.49539146683338936,17
3,-1.6704452845200366,0.43615356262628435,37
4,-1.8278409388115333,0.439174360683248,54
5,-1.766899361985621,0.584843481009181,53
6,-2.009724574367571,0.3412130697134392,21
7,-2.1337246753714734,0.371827985261103,9
8,-2.2842212320101623,,1
