step	recon	kl	loss	lr	ts
100	0.1265801191329956	0.001016291556879878	0.1265801191329956	5e-06	1765798385
200	0.032398197799921036	0.0016787610948085785	0.032398197799921036	1e-05	1765798477
300	0.03826608508825302	0.0019905148074030876	0.03826608881354332	1.5e-05	1765798568
400	0.03929441049695015	0.00221271812915802	0.03929441422224045	2e-05	1765798660
500	0.026309600099921227	0.0024882399011403322	0.026309601962566376	2.5e-05	1765798752
600	0.021560581400990486	0.002851298311725259	0.021560585126280785	3e-05	1765798844
700	0.033983878791332245	0.0034200490918010473	0.03398388251662254	3.5e-05	1765798936
800	0.011514254845678806	0.003591757733374834	0.011514258570969105	4e-05	1765799028
900	0.010477795265614986	0.004028999246656895	0.010477798990905285	4.5e-05	1765799120
1000	0.015765473246574402	0.004498215392231941	0.0157654769718647	5e-05	1765799212
1100	0.008096450939774513	0.0047373841516673565	0.008096455596387386	5.500000000000001e-05	1765799304
1200	0.0077549759298563	0.005334945395588875	0.007754981052130461	6e-05	1765799396
1300	0.006289136596024036	0.005579518154263496	0.006289142183959484	6.500000000000001e-05	1765799488
1400	0.0068959021009504795	0.005991235841065645	0.0068959081545472145	7e-05	1765799580
1500	0.01998250186443329	0.006171077489852905	0.019982507452368736	7.500000000000001e-05	1765799672
1600	0.008299307897686958	0.006443284451961517	0.00829931441694498	8e-05	1765799763
1700	0.01115645095705986	0.0065779853612184525	0.011156457476317883	8.5e-05	1765799855
1800	0.0075875320471823215	0.006845381110906601	0.007587539032101631	9e-05	1765799946
1900	0.00421104533597827	0.006868974305689335	0.004211052320897579	9.5e-05	1765800038
2000	0.005314408801496029	0.0074737798422575	0.005314416252076626	0.0001	1765800130
2100	0.004237272311002016	0.007776938378810883	0.0042372802272439	9.999238475781957e-05	1765800222
2200	0.012712093070149422	0.008068578317761421	0.012712101452052593	9.99695413509548e-05	1765800314
2300	0.002354793716222048	0.008110390976071358	0.0023548018652945757	9.99314767377287e-05	1765800406
2400	0.003735440317541361	0.008707228116691113	0.003735448932275176	9.987820251299122e-05	1765800497
2500	0.002446578349918127	0.008588483557105064	0.0024465869646519423	9.980973490458728e-05	1765800590
2600	0.0027623132336884737	0.009000154212117195	0.002762322314083576	9.972609476841367e-05	1765800682
2700	0.002327022375538945	0.009090904146432877	0.0023270314559340477	9.962730758206611e-05	1765800774
2800	0.002570484997704625	0.008918809704482555	0.002570493845269084	9.951340343707852e-05	1765800866
2900	0.0036008735187351704	0.009150334633886814	0.003600882599130273	9.938441702975689e-05	1765800958
3000	0.0029701213352382183	0.008816356770694256	0.002970130182802677	9.924038765061042e-05	1765801050
3100	0.0026397109031677246	0.009998081251978874	0.0026397209148854017	9.908135917238321e-05	1765801142
3200	0.0019652615301311016	0.01013278216123581	0.0019652717746794224	9.890738003669029e-05	1765801233
3300	0.0017654282273724675	0.010495615191757679	0.001765438704751432	9.871850323926177e-05	1765801325
3400	0.006675380747765303	0.01008600927889347	0.006675390992313623	9.851478631379982e-05	1765801416
3500	0.002177090849727392	0.009982824325561523	0.0021771008614450693	9.829629131445342e-05	1765801508
3600	0.0031016904395073652	0.009457491338253021	0.003101699985563755	9.806308479691595e-05	1765801599
3700	0.0010277042165398598	0.009818939492106438	0.0010277139954268932	9.781523779815179e-05	1765801692
3800	0.0009640789357945323	0.010341739282011986	0.0009640892967581749	9.755282581475769e-05	1765801783
3900	0.0019614319317042828	0.010746917687356472	0.001961442641913891	9.727592877996585e-05	1765801875
4000	0.002295477781444788	0.010718480683863163	0.002295488491654396	9.698463103929542e-05	1765801967
4100	0.0017648247303441167	0.009999534115195274	0.0017648347420617938	9.667902132486009e-05	1765802059
4200	0.0016757349949330091	0.010414990596473217	0.0016757453558966517	9.635919272833938e-05	1765802151
4300	0.0028051291592419147	0.01125301979482174	0.00280514033511281	9.602524267262203e-05	1765802243
4400	0.006211243104189634	0.010468059219419956	0.006211253348737955	9.567727288213005e-05	1765802335
4500	0.001712507102638483	0.011134611442685127	0.0017125182785093784	9.53153893518325e-05	1765802427
4600	0.0008959940169006586	0.012199057266116142	0.0008960062405094504	9.493970231495835e-05	1765802519
4700	0.0010692202486097813	0.011355039663612843	0.0010692316573113203	9.45503262094184e-05	1765802612
4800	0.0013732127845287323	0.012582087889313698	0.0013732253573834896	9.414737964294636e-05	1765802704
4900	0.0006381490966305137	0.012015750631690025	0.0006381610874086618	9.373098535696979e-05	1765802796
5000	0.0010716357501223683	0.01230754517018795	0.001071648090146482	9.330127018922194e-05	1765802887
5100	0.0014502864796668291	0.012286380864679813	0.0014502988196909428	9.285836503510562e-05	1765802980
5200	0.0005226852372288704	0.012331543490290642	0.000522697577252984	9.24024048078213e-05	1765803071
5300	0.001045996556058526	0.012728728353977203	0.0010460092453286052	9.193352839727121e-05	1765803163
5400	0.0015825011068955064	0.011980531737208366	0.0015825130976736546	9.145187862775209e-05	1765803254
5500	0.0008812129381112754	0.01303544919937849	0.00088122597662732	9.09576022144496e-05	1765803346
5600	0.003295937553048134	0.012532071210443974	0.003295950125902891	9.045084971874738e-05	1765803438
5700	0.0013228252064436674	0.01261107437312603	0.0013228377792984247	8.993177550236464e-05	1765803530
5800	0.0008088754257187247	0.01387573778629303	0.0008088892791420221	8.940053768033609e-05	1765803622
5900	0.0011726468801498413	0.013888956047594547	0.0011726607335731387	8.885729807284856e-05	1765803714
6000	0.0009682484087534249	0.013330486603081226	0.0009682617383077741	8.83022221559489e-05	1765803806
6100	0.000338280777214095	0.01392584852874279	0.0003382946888450533	8.773547901113862e-05	1765803898
6200	0.0005321935750544071	0.013736985623836517	0.0005322073120623827	8.715724127386972e-05	1765803990
6300	0.003587899263948202	0.013788530603051186	0.0035879130009561777	8.656768508095853e-05	1765804082
6400	0.0007986739510670304	0.014274445362389088	0.0007986882119439542	8.596699001693255e-05	1765804174
6500	0.0006888250936754048	0.014064827933907509	0.0006888391799293458	8.535533905932738e-05	1765804267
6600	0.001055683009326458	0.01345033012330532	0.00105569651350379	8.473291852294987e-05	1765804358
6700	0.000819134118501097	0.013430705294013023	0.000819147564470768	8.409991800312493e-05	1765804451
6800	0.0009654148016124964	0.014140172861516476	0.0009654289460740983	8.345653031794292e-05	1765804543
6900	0.0006769190076738596	0.014072185382246971	0.0006769330939278007	8.280295144952536e-05	1765804635
7000	0.0008632396929897368	0.014787768013775349	0.0008632544777356088	8.213938048432697e-05	1765804726
7100	0.0012830182677134871	0.013871319591999054	0.0012830321211367846	8.146601955249188e-05	1765804817
7200	0.0014567222679033875	0.01426120474934578	0.0014567365869879723	8.07830737662829e-05	1765804909
7300	0.0004674153169617057	0.014614210464060307	0.00046742992708459496	8.009075115760243e-05	1765805001
7400	0.0006280196830630302	0.014091961085796356	0.0006280337693169713	7.938926261462366e-05	1765805093
7500	0.00043679249938577414	0.01541590504348278	0.0004368079244159162	7.86788218175523e-05	1765805185
7600	0.0013192242477089167	0.015130741521716118	0.0013192393817007542	7.795964517353735e-05	1765805277
7700	0.0004889518022537231	0.014825074002146721	0.0004889666452072561	7.723195175075136e-05	1765805369
7800	0.0009307086002081633	0.014932528138160706	0.000930723559577018	7.649596321166024e-05	1765805461
7900	0.0005384849500842392	0.014534174464643002	0.0005384995019994676	7.575190374550272e-05	1765805553
8000	0.00046316516818478703	0.015489107929170132	0.00046318065142259	7.500000000000001e-05	1765805645
8100	0.001093558850698173	0.014216222800314426	0.001093573053367436	7.424048101231686e-05	1765805737
8200	0.0007197773084044456	0.014687960036098957	0.0007197919767349958	7.347357813929454e-05	1765805829
8300	0.00036124989856034517	0.014825953170657158	0.00036126471241004765	7.269952498697734e-05	1765805921
8400	0.000372083333786577	0.014913879334926605	0.00037209823494777083	7.191855733945387e-05	1765806013
8500	0.0004144350241404027	0.01522457879036665	0.00041445024544373155	7.113091308703498e-05	1765806106
8600	0.00037363922456279397	0.015507079660892487	0.0003736547369044274	7.033683215379002e-05	1765806197
8700	0.001799997640773654	0.01527169719338417	0.0018000128911808133	6.953655642446368e-05	1765806289
8800	0.0005903330165892839	0.014594052918255329	0.0005903476267121732	6.873032967079561e-05	1765806381
8900	0.0004372535040602088	0.015215685591101646	0.00043726872536353767	6.7918397477265e-05	1765806472
9000	0.0006175963208079338	0.014604810625314713	0.0006176109309308231	6.710100716628344e-05	1765806564
