step	loss	lr	timestamp
50	0.06778927147388458	1.25e-05	1760980067
100	0.032082460820674896	2.5e-05	1760980081
150	0.026951828971505165	3.7500000000000003e-05	1760980094
200	0.04280468076467514	5e-05	1760980108
250	0.025482118129730225	4.9996788644998285e-05	1760980122
300	0.02848541922867298	4.99871554050172e-05	1760980136
350	0.010974543169140816	4.997110275491702e-05	1760980149
400	0.02740528993308544	4.994863481875841e-05	1760980163
450	0.050788454711437225	4.991975736874289e-05	1760980177
500	0.06345261633396149	4.9884477823729956e-05	1760980190
550	0.03428816795349121	4.984280524733107e-05	1760980205
600	0.044356390833854675	4.979475034558115e-05	1760980218
650	0.03848930448293686	4.9740325464188154e-05	1760980232
700	0.15705251693725586	4.967954458536126e-05	1760980246
750	0.03612390160560608	4.961242332421882e-05	1760980260
800	0.02886771596968174	4.9538978924776634e-05	1760980273
850	0.004126375541090965	4.945923025551789e-05	1760980287
900	0.11252295970916748	4.937319780454559e-05	1760980301
950	0.03123467229306698	4.92809036743191e-05	1760980315
1000	0.11353569477796555	4.9182371575975736e-05	1760980328
1050	0.020154649391770363	4.907762682323927e-05	1760980343
1100	0.010262099094688892	4.8966696325916515e-05	1760980356
1150	0.05116445943713188	4.8849608582984096e-05	1760980370
1200	0.005712276324629784	4.8726393675266716e-05	1760980384
1250	0.01778353750705719	4.8597083257709194e-05	1760980398
1300	0.03051608055830002	4.846171055124401e-05	1760980411
1350	0.06707526743412018	4.832031033425662e-05	1760980425
1400	0.08500112593173981	4.817291893365055e-05	1760980439
1450	0.03571321815252304	4.8019574215514705e-05	1760980453
1500	0.06497281789779663	4.7860315575395316e-05	1760980466
1550	0.0359579436480999	4.7695183928174804e-05	1760980480
1600	0.07604746520519257	4.752422169756048e-05	1760980494
1650	0.038662366569042206	4.734747280518549e-05	1760980508
1700	0.06858190894126892	4.716498265932501e-05	1760980521
1750	0.007055272348225117	4.6976798143230434e-05	1760980535
1800	0.07288183271884918	4.678296760308474e-05	1760980549
1850	0.08962493389844894	4.658354083558188e-05	1760980563
1900	0.055921006947755814	4.637856907513366e-05	1760980576
1950	0.05727507174015045	4.6168104980707107e-05	1760980590
2000	0.11000197380781174	4.595220262229601e-05	1760980604
2050	0.045870620757341385	4.573091746702988e-05	1760980618
2100	0.009025078266859055	4.55043063649239e-05	1760980631
2150	0.012024728581309319	4.5272427534273774e-05	1760980645
2200	0.006447000429034233	4.503534054669892e-05	1760980659
2250	0.01506995689123869	4.4793106311838e-05	1760980673
2300	0.010888809338212013	4.454578706170075e-05	1760980687
2350	0.12471943348646164	4.429344633468004e-05	1760980701
2400	0.005078759044408798	4.4036148959228365e-05	1760980714
2450	0.04763459786772728	4.377396103720278e-05	1760980728
2500	0.04616548866033554	4.350694992688289e-05	1760980742
2550	0.07668384909629822	4.323518422566586e-05	1760980756
2600	0.04889826849102974	4.2958733752443195e-05	1760980770
2650	0.02140512317419052	4.267766952966369e-05	1760980784
2700	0.0770254135131836	4.239206376508717e-05	1760980797
2750	0.08623526990413666	4.210198983323366e-05	1760980811
2800	0.054733697324991226	4.180752225653292e-05	1760980825
2850	0.050142042338848114	4.150873668617898e-05	1760980839
2900	0.032732393592596054	4.120570988269472e-05	1760980853
2950	0.015155388042330742	4.089851969621138e-05	1760980867
3000	0.02112375944852829	4.058724504646834e-05	1760980880
3050	0.0570400170981884	4.027196590253786e-05	1760980894
3100	0.13802862167358398	3.9952763262280405e-05	1760980908
3150	0.02333848923444748	3.9629719131535594e-05	1760980922
3200	0.05966091901063919	3.9302916503054246e-05	1760980936
3250	0.3190218210220337	3.897243933517679e-05	1760980950
3300	0.1004616916179657	3.8638372530263715e-05	1760980963
3350	0.024902479723095894	3.830080191288342e-05	1760980977
3400	0.04319639503955841	3.7959814207763135e-05	1760980991
3450	0.07927675545215607	3.761549701750865e-05	1760981005
3500	0.042207833379507065	3.726793880009845e-05	1760981019
3550	0.049558356404304504	3.6917228846158134e-05	1760981033
3600	0.027527466416358948	3.656345725602089e-05	1760981046
3650	0.40199849009513855	3.620671491657993e-05	1760981060
3700	0.09024931490421295	3.5847093477938956e-05	1760981074
3750	0.05347619578242302	3.5484685329866425e-05	1760981088
3800	0.012225016951560974	3.5119583578059846e-05	1760981102
3850	0.07717955857515335	3.475188202022617e-05	1760981116
3900	0.09049665927886963	3.438167512198436e-05	1760981130
3950	0.09985562413930893	3.400905799259634e-05	1760981144
4000	0.03086496889591217	3.363412636053269e-05	1760981157
4050	0.046221647411584854	3.3256976548879184e-05	1760981171
4100	0.05882783979177475	3.2877705450590526e-05	1760981185
4150	0.0648190975189209	3.249641050359779e-05	1760981199
4200	0.12518617510795593	3.211318966577581e-05	1760981213
4250	0.06068067252635956	3.172814138977692e-05	1760981227
4300	0.00721184816211462	3.1341364597737686e-05	1760981241
4350	0.015421954914927483	3.0952958655864955e-05	1760981255
4400	0.02970818802714348	3.056302334890786e-05	1760981268
4450	0.007236119359731674	3.0171658854522273e-05	1760981282
4500	0.01829526573419571	2.9778965717534313e-05	1760981296
4550	0.07479701191186905	2.9385044824109543e-05	1760981310
