t_bucket,mean_log_loss,std_log_loss,num_points
0,-0.7861347526614615,,1
1,-1.229690057161528,0.7357588694373962,7
2,-1.5011661480246534,0.4953914668333894,17
3,-1.6704452845200366,0.4361535626262842,37
4,-1.8278409388115326,0.4391743606832479,54
5,-1.766899361985621,0.584843481009181,53
6,-2.009724574367571,0.3412130697134392,21
7,-2.1337246753714734,0.371827985261103,9
8,-2.2842212320101623,,1
